K,Inertia,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
2,79274.38035903737,0.37814660410158935,44606.41800968987,0.9969131229607662
3,57329.46840040727,0.3434743306766936,40409.22003206858,1.0352512017006195
4,47788.401664365614,0.3139806058885692,35644.73166713851,1.1217879951049388
5,42145.976414122684,0.30841996172678543,31985.247329298192,1.1691372509067952
6,37636.90576606493,0.32112575137444577,29851.087920432445,1.1198127950612369
7,33610.93761433156,0.3048980458386334,28853.070281097927,1.1664752611115745
8,30069.903878626494,0.3242759352103326,28484.045613206396,1.0592780237032824
9,27428.72501868242,0.33594292308122503,27924.995690523272,1.0474307275590384
10,25080.100841196207,0.3213629266209251,27666.004936294026,1.0018567995592131
