K,Inertia,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
2,79275.08827632596,0.37784472202131675,44605.95755353885,0.9975382612202607
3,57328.97858053527,0.34354567047228957,40409.5894778541,1.035000370546062
4,47788.63921627377,0.3136934650866573,35644.515401555145,1.121847757605171
5,42144.69118576976,0.30883977347076724,31986.457231820932,1.1683769121285228
6,37637.29365306442,0.32125215175749255,29850.718000234745,1.1202301820432201
7,33610.96977178706,0.30490619931228824,28853.00540120714,1.1664381789845617
8,30070.77437648888,0.3244614089970971,28483.01148870176,1.060928296196144
9,26915.15150769617,0.32965684480285445,28576.806877123967,1.032696432986467
10,25182.942555927082,0.33690216707704473,27530.371981989585,1.0177165546709142
